Sector,Basis,Component,Measure,Units,Year,Qtr,Value
"Total economy","All workers","Total U.S. economy",Employment,"Millions of jobs",1994,2,131.038
"Total economy",Employees,"General government: total",Employment,"Millions of jobs",1994,2,17.351
"Total economy",Employees,"General government: federal",Employment,"Millions of jobs",1994,2,2.059
"Total economy",Employees,"General government: state and local",Employment,"Millions of jobs",1994,2,15.292
"Total economy",Personnel,"Armed forces",Employment,"Millions of jobs",1994,2,1.73
"Total economy",Employees,"Private households",Employment,"Millions of jobs",1994,2,1.142
"Total economy",Employees,"Nonprofit institutions",Employment,"Millions of jobs",1994,2,10.162
"Total economy","All workers",Farm,Employment,"Millions of jobs",1994,2,2.854
"Total economy","All workers","Nonfarm business: total",Employment,"Millions of jobs",1994,2,97.799
"Total economy",Employees,"Nonfarm business: private nonfarm (excluding nonprofit institutions)",Employment,"Millions of jobs",1994,2,84.827
"Total economy",Employees,"Nonfarm business: government enterprises: total",Employment,"Millions of jobs",1994,2,1.902
"Total economy",Employees,"Nonfarm business: government enterprises: federal",Employment,"Millions of jobs",1994,2,0.967
"Total economy",Employees,"Nonfarm business: government enterprises: state and local",Employment,"Millions of jobs",1994,2,0.935
"Total economy","Unpaid family workers","Nonfarm business: non-employees: unpaid family workers",Employment,"Millions of jobs",1994,2,0.155
"Total economy",Proprietors,"Nonfarm business: non-employees: proprietors",Employment,"Millions of jobs",1994,2,10.915
"Total economy","All workers","Total U.S. economy","Hours worked","Billions of hours",1994,3,235.544
"Total economy",Employees,"General government: total","Hours worked","Billions of hours",1994,3,30.861
"Total economy",Employees,"General government: federal","Hours worked","Billions of hours",1994,3,3.971
"Total economy",Employees,"General government: state and local","Hours worked","Billions of hours",1994,3,26.89
"Total economy",Personnel,"Armed forces","Hours worked","Billions of hours",1994,3,3.047
"Total economy",Employees,"Private households","Hours worked","Billions of hours",1994,3,1.361
"Total economy",Employees,"Nonprofit institutions","Hours worked","Billions of hours",1994,3,16.599
"Total economy","All workers",Farm,"Hours worked","Billions of hours",1994,3,5.446
"Total economy","All workers","Nonfarm business: total","Hours worked","Billions of hours",1994,3,178.23
"Total economy",Employees,"Nonfarm business: private nonfarm (excluding nonprofit institutions)","Hours worked","Billions of hours",1994,3,155.14
"Total economy",Employees,"Nonfarm business: government enterprises: total","Hours worked","Billions of hours",1994,3,3.736
"Total economy",Employees,"Nonfarm business: government enterprises: federal","Hours worked","Billions of hours",1994,3,1.866
"Total economy",Employees,"Nonfarm business: government enterprises: state and local","Hours worked","Billions of hours",1994,3,1.87
"Total economy","Unpaid family workers","Nonfarm business: non-employees: unpaid family workers","Hours worked","Billions of hours",1994,3,0.287
"Total economy",Proprietors,"Nonfarm business: non-employees: proprietors","Hours worked","Billions of hours",1994,3,19.068
"Total economy","All workers","Total U.S. economy",Employment,"Millions of jobs",1994,3,132.297
"Total economy",Employees,"General government: total",Employment,"Millions of jobs",1994,3,17.395
"Total economy",Employees,"General government: federal",Employment,"Millions of jobs",1994,3,2.032
"Total economy",Employees,"General government: state and local",Employment,"Millions of jobs",1994,3,15.363
"Total economy",Personnel,"Armed forces",Employment,"Millions of jobs",1994,3,1.701
"Total economy",Employees,"Private households",Employment,"Millions of jobs",1994,3,1.082
"Total economy",Employees,"Nonprofit institutions",Employment,"Millions of jobs",1994,3,10.25
"Total economy","All workers",Farm,Employment,"Millions of jobs",1994,3,2.932
"Total economy","All workers","Nonfarm business: total",Employment,"Millions of jobs",1994,3,98.937
"Total economy",Employees,"Nonfarm business: private nonfarm (excluding nonprofit institutions)",Employment,"Millions of jobs",1994,3,85.67
"Total economy",Employees,"Nonfarm business: government enterprises: total",Employment,"Millions of jobs",1994,3,1.919
"Total economy",Employees,"Nonfarm business: government enterprises: federal",Employment,"Millions of jobs",1994,3,0.972
"Total economy",Employees,"Nonfarm business: government enterprises: state and local",Employment,"Millions of jobs",1994,3,0.947
"Total economy","Unpaid family workers","Nonfarm business: non-employees: unpaid family workers",Employment,"Millions of jobs",1994,3,0.159
"Total economy",Proprietors,"Nonfarm business: non-employees: proprietors",Employment,"Millions of jobs",1994,3,11.189
"Total economy","All workers","Total U.S. economy","Hours worked","Billions of hours",1994,4,236.278
"Total economy",Employees,"General government: total","Hours worked","Billions of hours",1994,4,30.687
"Total economy",Employees,"General government: federal","Hours worked","Billions of hours",1994,4,3.801
"Total economy",Employees,"General government: state and local","Hours worked","Billions of hours",1994,4,26.886
"Total economy",Personnel,"Armed forces","Hours worked","Billions of hours",1994,4,2.968
"Total economy",Employees,"Private households","Hours worked","Billions of hours",1994,4,1.401
"Total economy",Employees,"Nonprofit institutions","Hours worked","Billions of hours",1994,4,16.703
"Total economy","All workers",Farm,"Hours worked","Billions of hours",1994,4,5.535
"Total economy","All workers","Nonfarm business: total","Hours worked","Billions of hours",1994,4,178.983
"Total economy",Employees,"Nonfarm business: private nonfarm (excluding nonprofit institutions)","Hours worked","Billions of hours",1994,4,156.436
"Total economy",Employees,"Nonfarm business: government enterprises: total","Hours worked","Billions of hours",1994,4,3.736
"Total economy",Employees,"Nonfarm business: government enterprises: federal","Hours worked","Billions of hours",1994,4,1.875
"Total economy",Employees,"Nonfarm business: government enterprises: state and local","Hours worked","Billions of hours",1994,4,1.861
"Total economy","Unpaid family workers","Nonfarm business: non-employees: unpaid family workers","Hours worked","Billions of hours",1994,4,0.25
"Total economy",Proprietors,"Nonfarm business: non-employees: proprietors","Hours worked","Billions of hours",1994,4,18.561
"Total economy","All workers","Total U.S. economy",Employment,"Millions of jobs",1994,4,132.959
"Total economy",Employees,"General government: total",Employment,"Millions of jobs",1994,4,17.43
"Total economy",Employees,"General government: federal",Employment,"Millions of jobs",1994,4,2.008
"Total economy",Employees,"General government: state and local",Employment,"Millions of jobs",1994,4,15.421
"Total economy",Personnel,"Armed forces",Employment,"Millions of jobs",1994,4,1.67
"Total economy",Employees,"Private households",Employment,"Millions of jobs",1994,4,1.073
"Total economy",Employees,"Nonprofit institutions",Employment,"Millions of jobs",1994,4,10.318
"Total economy","All workers",Farm,Employment,"Millions of jobs",1994,4,2.973
"Total economy","All workers","Nonfarm business: total",Employment,"Millions of jobs",1994,4,99.496
"Total economy",Employees,"Nonfarm business: private nonfarm (excluding nonprofit institutions)",Employment,"Millions of jobs",1994,4,86.472
"Total economy",Employees,"Nonfarm business: government enterprises: total",Employment,"Millions of jobs",1994,4,1.937
"Total economy",Employees,"Nonfarm business: government enterprises: federal",Employment,"Millions of jobs",1994,4,0.98
"Total economy",Employees,"Nonfarm business: government enterprises: state and local",Employment,"Millions of jobs",1994,4,0.957
"Total economy","Unpaid family workers","Nonfarm business: non-employees: unpaid family workers",Employment,"Millions of jobs",1994,4,0.144
"Total economy",Proprietors,"Nonfarm business: non-employees: proprietors",Employment,"Millions of jobs",1994,4,10.943
"Total economy","All workers","Total U.S. economy","Hours worked","Billions of hours",1995,1,237.701
"Total economy",Employees,"General government: total","Hours worked","Billions of hours",1995,1,31.107
"Total economy",Employees,"General government: federal","Hours worked","Billions of hours",1995,1,3.846
"Total economy",Employees,"General government: state and local","Hours worked","Billions of hours",1995,1,27.261
"Total economy",Personnel,"Armed forces","Hours worked","Billions of hours",1995,1,2.971
"Total economy",Employees,"Private households","Hours worked","Billions of hours",1995,1,1.387
"Total economy",Employees,"Nonprofit institutions","Hours worked","Billions of hours",1995,1,16.787
"Total economy","All workers",Farm,"Hours worked","Billions of hours",1995,1,5.61
"Total economy","All workers","Nonfarm business: total","Hours worked","Billions of hours",1995,1,179.838
"Total economy",Employees,"Nonfarm business: private nonfarm (excluding nonprofit institutions)","Hours worked","Billions of hours",1995,1,157.25
"Total economy",Employees,"Nonfarm business: government enterprises: total","Hours worked","Billions of hours",1995,1,3.816
"Total economy",Employees,"Nonfarm business: government enterprises: federal","Hours worked","Billions of hours",1995,1,1.907
"Total economy",Employees,"Nonfarm business: government enterprises: state and local","Hours worked","Billions of hours",1995,1,1.909
"Total economy","Unpaid family workers","Nonfarm business: non-employees: unpaid family workers","Hours worked","Billions of hours",1995,1,0.235
"Total economy",Proprietors,"Nonfarm business: non-employees: proprietors","Hours worked","Billions of hours",1995,1,18.538
"Total economy","All workers","Total U.S. economy",Employment,"Millions of jobs",1995,1,133.902
"Total economy",Employees,"General government: total",Employment,"Millions of jobs",1995,1,17.46
"Total economy",Employees,"General government: federal",Employment,"Millions of jobs",1995,1,1.984
"Total economy",Employees,"General government: state and local",Employment,"Millions of jobs",1995,1,15.476
"Total economy",Personnel,"Armed forces",Employment,"Millions of jobs",1995,1,1.651
"Total economy",Employees,"Private households",Employment,"Millions of jobs",1995,1,1.087
"Total economy",Employees,"Nonprofit institutions",Employment,"Millions of jobs",1995,1,10.383
"Total economy","All workers",Farm,Employment,"Millions of jobs",1995,1,2.936
"Total economy","All workers","Nonfarm business: total",Employment,"Millions of jobs",1995,1,100.385
"Total economy",Employees,"Nonfarm business: private nonfarm (excluding nonprofit institutions)",Employment,"Millions of jobs",1995,1,87.232
"Total economy",Employees,"Nonfarm business: government enterprises: total",Employment,"Millions of jobs",1995,1,1.95
"Total economy",Employees,"Nonfarm business: government enterprises: federal",Employment,"Millions of jobs",1995,1,0.985
"Total economy",Employees,"Nonfarm business: government enterprises: state and local",Employment,"Millions of jobs",1995,1,0.965
"Total economy","Unpaid family workers","Nonfarm business: non-employees: unpaid family workers",Employment,"Millions of jobs",1995,1,0.141
"Total economy",Proprietors,"Nonfarm business: non-employees: proprietors",Employment,"Millions of jobs",1995,1,11.062
"Total economy","All workers","Total U.S. economy","Hours worked","Billions of hours",1995,2,237.527
"Total economy",Employees,"General government: total","Hours worked","Billions of hours",1995,2,31.007
"Total economy",Employees,"General government: federal","Hours worked","Billions of hours",1995,2,3.807
"Total economy",Employees,"General government: state and local","Hours worked","Billions of hours",1995,2,27.2
"Total economy",Personnel,"Armed forces","Hours worked","Billions of hours",1995,2,2.935
"Total economy",Employees,"Private households","Hours worked","Billions of hours",1995,2,1.385
"Total economy",Employees,"Nonprofit institutions","Hours worked","Billions of hours",1995,2,16.836
"Total economy","All workers",Farm,"Hours worked","Billions of hours",1995,2,5.784
"Total economy","All workers","Nonfarm business: total","Hours worked","Billions of hours",1995,2,179.58
"Total economy",Employees,"Nonfarm business: private nonfarm (excluding nonprofit institutions)","Hours worked","Billions of hours",1995,2,157.484
"Total economy",Employees,"Nonfarm business: government enterprises: total","Hours worked","Billions of hours",1995,2,3.83
"Total economy",Employees,"Nonfarm business: government enterprises: federal","Hours worked","Billions of hours",1995,2,1.921
"Total economy",Employees,"Nonfarm business: government enterprises: state and local","Hours worked","Billions of hours",1995,2,1.909
"Total economy","Unpaid family workers","Nonfarm business: non-employees: unpaid family workers","Hours worked","Billions of hours",1995,2,0.222
"Total economy",Proprietors,"Nonfarm business: non-employees: proprietors","Hours worked","Billions of hours",1995,2,18.044
"Total economy","All workers","Total U.S. economy",Employment,"Millions of jobs",1995,2,134.438
"Total economy",Employees,"General government: total",Employment,"Millions of jobs",1995,2,17.478
"Total economy",Employees,"General government: federal",Employment,"Millions of jobs",1995,2,1.976
"Total economy",Employees,"General government: state and local",Employment,"Millions of jobs",1995,2,15.503
"Total economy",Personnel,"Armed forces",Employment,"Millions of jobs",1995,2,1.637
"Total economy",Employees,"Private households",Employment,"Millions of jobs",1995,2,1.069
"Total economy",Employees,"Nonprofit institutions",Employment,"Millions of jobs",1995,2,10.423
"Total economy","All workers",Farm,Employment,"Millions of jobs",1995,2,3.038
"Total economy","All workers","Nonfarm business: total",Employment,"Millions of jobs",1995,2,100.792
"Total economy",Employees,"Nonfarm business: private nonfarm (excluding nonprofit institutions)",Employment,"Millions of jobs",1995,2,87.597
"Total economy",Employees,"Nonfarm business: government enterprises: total",Employment,"Millions of jobs",1995,2,1.954
"Total economy",Employees,"Nonfarm business: government enterprises: federal",Employment,"Millions of jobs",1995,2,0.985
"Total economy",Employees,"Nonfarm business: government enterprises: state and local",Employment,"Millions of jobs",1995,2,0.969
"Total economy","Unpaid family workers","Nonfarm business: non-employees: unpaid family workers",Employment,"Millions of jobs",1995,2,0.147
"Total economy",Proprietors,"Nonfarm business: non-employees: proprietors",Employment,"Millions of jobs",1995,2,11.094
"Total economy","All workers","Total U.S. economy","Hours worked","Billions of hours",1995,3,239.459
"Total economy",Employees,"General government: total","Hours worked","Billions of hours",1995,3,31.19
"Total economy",Employees,"General government: federal","Hours worked","Billions of hours",1995,3,3.763
"Total economy",Employees,"General government: state and local","Hours worked","Billions of hours",1995,3,27.427
"Total economy",Personnel,"Armed forces","Hours worked","Billions of hours",1995,3,2.893
"Total economy",Employees,"Private households","Hours worked","Billions of hours",1995,3,1.346
"Total economy",Employees,"Nonprofit institutions","Hours worked","Billions of hours",1995,3,16.823
"Total economy","All workers",Farm,"Hours worked","Billions of hours",1995,3,5.563
"Total economy","All workers","Nonfarm business: total","Hours worked","Billions of hours",1995,3,181.643
"Total economy",Employees,"Nonfarm business: private nonfarm (excluding nonprofit institutions)","Hours worked","Billions of hours",1995,3,158.745
"Total economy",Employees,"Nonfarm business: government enterprises: total","Hours worked","Billions of hours",1995,3,3.817
"Total economy",Employees,"Nonfarm business: government enterprises: federal","Hours worked","Billions of hours",1995,3,1.893
"Total economy",Employees,"Nonfarm business: government enterprises: state and local","Hours worked","Billions of hours",1995,3,1.924
"Total economy","Unpaid family workers","Nonfarm business: non-employees: unpaid family workers","Hours worked","Billions of hours",1995,3,0.206
"Total economy",Proprietors,"Nonfarm business: non-employees: proprietors","Hours worked","Billions of hours",1995,3,18.874
"Total economy","All workers","Total U.S. economy",Employment,"Millions of jobs",1995,3,134.864
"Total economy",Employees,"General government: total",Employment,"Millions of jobs",1995,3,17.475
"Total economy",Employees,"General government: federal",Employment,"Millions of jobs",1995,3,1.955
"Total economy",Employees,"General government: state and local",Employment,"Millions of jobs",1995,3,15.52
"Total economy",Personnel,"Armed forces",Employment,"Millions of jobs",1995,3,1.606
"Total economy",Employees,"Private households",Employment,"Millions of jobs",1995,3,1.063
"Total economy",Employees,"Nonprofit institutions",Employment,"Millions of jobs",1995,3,10.443
"Total economy","All workers",Farm,Employment,"Millions of jobs",1995,3,2.873
"Total economy","All workers","Nonfarm business: total",Employment,"Millions of jobs",1995,3,101.404
"Total economy",Employees,"Nonfarm business: private nonfarm (excluding nonprofit institutions)",Employment,"Millions of jobs",1995,3,88.089
"Total economy",Employees,"Nonfarm business: government enterprises: total",Employment,"Millions of jobs",1995,3,1.957
"Total economy",Employees,"Nonfarm business: government enterprises: federal",Employment,"Millions of jobs",1995,3,0.985
"Total economy",Employees,"Nonfarm business: government enterprises: state and local",Employment,"Millions of jobs",1995,3,0.972
"Total economy","Unpaid family workers","Nonfarm business: non-employees: unpaid family workers",Employment,"Millions of jobs",1995,3,0.127
"Total economy",Proprietors,"Nonfarm business: non-employees: proprietors",Employment,"Millions of jobs",1995,3,11.232
"Total economy","All workers","Total U.S. economy","Hours worked","Billions of hours",1995,4,239.555
"Total economy",Employees,"General government: total","Hours worked","Billions of hours",1995,4,30.993
"Total economy",Employees,"General government: federal","Hours worked","Billions of hours",1995,4,3.694
"Total economy",Employees,"General government: state and local","Hours worked","Billions of hours",1995,4,27.299
"Total economy",Personnel,"Armed forces","Hours worked","Billions of hours",1995,4,2.831
"Total economy",Employees,"Private households","Hours worked","Billions of hours",1995,4,1.294
"Total economy",Employees,"Nonprofit institutions","Hours worked","Billions of hours",1995,4,16.862
"Total economy","All workers",Farm,"Hours worked","Billions of hours",1995,4,5.467
"Total economy","All workers","Nonfarm business: total","Hours worked","Billions of hours",1995,4,182.107
"Total economy",Employees,"Nonfarm business: private nonfarm (excluding nonprofit institutions)","Hours worked","Billions of hours",1995,4,159.331
"Total economy",Employees,"Nonfarm business: government enterprises: total","Hours worked","Billions of hours",1995,4,3.83
"Total economy",Employees,"Nonfarm business: government enterprises: federal","Hours worked","Billions of hours",1995,4,1.895
"Total economy",Employees,"Nonfarm business: government enterprises: state and local","Hours worked","Billions of hours",1995,4,1.935
"Total economy","Unpaid family workers","Nonfarm business: non-employees: unpaid family workers","Hours worked","Billions of hours",1995,4,0.217
"Total economy",Proprietors,"Nonfarm business: non-employees: proprietors","Hours worked","Billions of hours",1995,4,18.729
"Total economy","All workers","Total U.S. economy",Employment,"Millions of jobs",1995,4,135.11
"Total economy",Employees,"General government: total",Employment,"Millions of jobs",1995,4,17.505
"Total economy",Employees,"General government: federal",Employment,"Millions of jobs",1995,4,1.932
"Total economy",Employees,"General government: state and local",Employment,"Millions of jobs",1995,4,15.573
"Total economy",Personnel,"Armed forces",Employment,"Millions of jobs",1995,4,1.582
"Total economy",Employees,"Private households",Employment,"Millions of jobs",1995,4,0.991
"Total economy",Employees,"Nonprofit institutions",Employment,"Millions of jobs",1995,4,10.479
"Total economy","All workers",Farm,Employment,"Millions of jobs",1995,4,2.861
"Total economy","All workers","Nonfarm business: total",Employment,"Millions of jobs",1995,4,101.692
"Total economy",Employees,"Nonfarm business: private nonfarm (excluding nonprofit institutions)",Employment,"Millions of jobs",1995,4,88.566
"Total economy",Employees,"Nonfarm business: government enterprises: total",Employment,"Millions of jobs",1995,4,1.959
"Total economy",Employees,"Nonfarm business: government enterprises: federal",Employment,"Millions of jobs",1995,4,0.985
"Total economy",Employees,"Nonfarm business: government enterprises: state and local",Employment,"Millions of jobs",1995,4,0.975
"Total economy","Unpaid family workers","Nonfarm business: non-employees: unpaid family workers",Employment,"Millions of jobs",1995,4,0.141
"Total economy",Proprietors,"Nonfarm business: non-employees: proprietors",Employment,"Millions of jobs",1995,4,11.025
"Total economy","All workers","Total U.S. economy","Hours worked","Billions of hours",1996,1,239.385
"Total economy",Employees,"General government: total","Hours worked","Billions of hours",1996,1,30.433
"Total economy",Employees,"General government: federal","Hours worked","Billions of hours",1996,1,3.493
"Total economy",Employees,"General government: state and local","Hours worked","Billions of hours",1996,1,26.94
"Total economy",Personnel,"Armed forces","Hours worked","Billions of hours",1996,1,2.758
"Total economy",Employees,"Private households","Hours worked","Billions of hours",1996,1,1.303
"Total economy",Employees,"Nonprofit institutions","Hours worked","Billions of hours",1996,1,16.905
"Total economy","All workers",Farm,"Hours worked","Billions of hours",1996,1,5.52
"Total economy","All workers","Nonfarm business: total","Hours worked","Billions of hours",1996,1,182.466
"Total economy",Employees,"Nonfarm business: private nonfarm (excluding nonprofit institutions)","Hours worked","Billions of hours",1996,1,159.679
"Total economy",Employees,"Nonfarm business: government enterprises: total","Hours worked","Billions of hours",1996,1,3.793
"Total economy",Employees,"Nonfarm business: government enterprises: federal","Hours worked","Billions of hours",1996,1,1.889
"Total economy",Employees,"Nonfarm business: government enterprises: state and local","Hours worked","Billions of hours",1996,1,1.904
"Total economy","Unpaid family workers","Nonfarm business: non-employees: unpaid family workers","Hours worked","Billions of hours",1996,1,0.186
"Total economy",Proprietors,"Nonfarm business: non-employees: proprietors","Hours worked","Billions of hours",1996,1,18.809
"Total economy","All workers","Total U.S. economy",Employment,"Millions of jobs",1996,1,135.8
"Total economy",Employees,"General government: total",Employment,"Millions of jobs",1996,1,17.529
"Total economy",Employees,"General government: federal",Employment,"Millions of jobs",1996,1,1.917
"Total economy",Employees,"General government: state and local",Employment,"Millions of jobs",1996,1,15.612
"Total economy",Personnel,"Armed forces",Employment,"Millions of jobs",1996,1,1.57
"Total economy",Employees,"Private households",Employment,"Millions of jobs",1996,1,0.959
"Total economy",Employees,"Nonprofit institutions",Employment,"Millions of jobs",1996,1,10.506
"Total economy","All workers",Farm,Employment,"Millions of jobs",1996,1,2.83
"Total economy","All workers","Nonfarm business: total",Employment,"Millions of jobs",1996,1,102.407
"Total economy",Employees,"Nonfarm business: private nonfarm (excluding nonprofit institutions)",Employment,"Millions of jobs",1996,1,89.057
"Total economy",Employees,"Nonfarm business: government enterprises: total",Employment,"Millions of jobs",1996,1,1.96
"Total economy",Employees,"Nonfarm business: government enterprises: federal",Employment,"Millions of jobs",1996,1,0.985
"Total economy",Employees,"Nonfarm business: government enterprises: state and local",Employment,"Millions of jobs",1996,1,0.976
"Total economy","Unpaid family workers","Nonfarm business: non-employees: unpaid family workers",Employment,"Millions of jobs",1996,1,0.121
"Total economy",Proprietors,"Nonfarm business: non-employees: proprietors",Employment,"Millions of jobs",1996,1,11.268
"Total economy","All workers","Total U.S. economy","Hours worked","Billions of hours",1996,2,242.002
"Total economy",Employees,"General government: total","Hours worked","Billions of hours",1996,2,31.424
"Total economy",Employees,"General government: federal","Hours worked","Billions of hours",1996,2,3.664
"Total economy",Employees,"General government: state and local","Hours worked","Billions of hours",1996,2,27.76
"Total economy",Personnel,"Armed forces","Hours worked","Billions of hours",1996,2,2.81
"Total economy",Employees,"Private households","Hours worked","Billions of hours",1996,2,1.258
"Total economy",Employees,"Nonprofit institutions","Hours worked","Billions of hours",1996,2,16.932
"Total economy","All workers",Farm,"Hours worked","Billions of hours",1996,2,5.405
"Total economy","All workers","Nonfarm business: total","Hours worked","Billions of hours",1996,2,184.173
"Total economy",Employees,"Nonfarm business: private nonfarm (excluding nonprofit institutions)","Hours worked","Billions of hours",1996,2,161.306
"Total economy",Employees,"Nonfarm business: government enterprises: total","Hours worked","Billions of hours",1996,2,3.809
"Total economy",Employees,"Nonfarm business: government enterprises: federal","Hours worked","Billions of hours",1996,2,1.875
"Total economy",Employees,"Nonfarm business: government enterprises: state and local","Hours worked","Billions of hours",1996,2,1.934
"Total economy","Unpaid family workers","Nonfarm business: non-employees: unpaid family workers","Hours worked","Billions of hours",1996,2,0.245
"Total economy",Proprietors,"Nonfarm business: non-employees: proprietors","Hours worked","Billions of hours",1996,2,18.813
"Total economy","All workers","Total U.S. economy",Employment,"Millions of jobs",1996,2,136.485
"Total economy",Employees,"General government: total",Employment,"Millions of jobs",1996,2,17.559
"Total economy",Employees,"General government: federal",Employment,"Millions of jobs",1996,2,1.896
"Total economy",Employees,"General government: state and local",Employment,"Millions of jobs",1996,2,15.662
"Total economy",Personnel,"Armed forces",Employment,"Millions of jobs",1996,2,1.557
"Total economy",Employees,"Private households",Employment,"Millions of jobs",1996,2,0.93
"Total economy",Employees,"Nonprofit institutions",Employment,"Millions of jobs",1996,2,10.549
"Total economy","All workers",Farm,Employment,"Millions of jobs",1996,2,2.835
"Total economy","All workers","Nonfarm business: total",Employment,"Millions of jobs",1996,2,103.054
"Total economy",Employees,"Nonfarm business: private nonfarm (excluding nonprofit institutions)",Employment,"Millions of jobs",1996,2,89.748
"Total economy",Employees,"Nonfarm business: government enterprises: total",Employment,"Millions of jobs",1996,2,1.965
"Total economy",Employees,"Nonfarm business: government enterprises: federal",Employment,"Millions of jobs",1996,2,0.992
"Total economy",Employees,"Nonfarm business: government enterprises: state and local",Employment,"Millions of jobs",1996,2,0.973
"Total economy","Unpaid family workers","Nonfarm business: non-employees: unpaid family workers",Employment,"Millions of jobs",1996,2,0.138
"Total economy",Proprietors,"Nonfarm business: non-employees: proprietors",Employment,"Millions of jobs",1996,2,11.202
"Total economy","All workers","Total U.S. economy","Hours worked","Billions of hours",1996,3,243.945
"Total economy",Employees,"General government: total","Hours worked","Billions of hours",1996,3,31.82
"Total economy",Employees,"General government: federal","Hours worked","Billions of hours",1996,3,3.649
"Total economy",Employees,"General government: state and local","Hours worked","Billions of hours",1996,3,28.171
"Total economy",Personnel,"Armed forces","Hours worked","Billions of hours",1996,3,2.814
"Total economy",Employees,"Private households","Hours worked","Billions of hours",1996,3,1.32
"Total economy",Employees,"Nonprofit institutions","Hours worked","Billions of hours",1996,3,16.993
"Total economy","All workers",Farm,"Hours worked","Billions of hours",1996,3,5.285
"Total economy","All workers","Nonfarm business: total","Hours worked","Billions of hours",1996,3,185.713
"Total economy",Employees,"Nonfarm business: private nonfarm (excluding nonprofit institutions)","Hours worked","Billions of hours",1996,3,162.699
"Total economy",Employees,"Nonfarm business: government enterprises: total","Hours worked","Billions of hours",1996,3,3.825
"Total economy",Employees,"Nonfarm business: government enterprises: federal","Hours worked","Billions of hours",1996,3,1.887
"Total economy",Employees,"Nonfarm business: government enterprises: state and local","Hours worked","Billions of hours",1996,3,1.938
"Total economy","Unpaid family workers","Nonfarm business: non-employees: unpaid family workers","Hours worked","Billions of hours",1996,3,0.27
"Total economy",Proprietors,"Nonfarm business: non-employees: proprietors","Hours worked","Billions of hours",1996,3,18.919
"Total economy","All workers","Total U.S. economy",Employment,"Millions of jobs",1996,3,137.286
"Total economy",Employees,"General government: total",Employment,"Millions of jobs",1996,3,17.58
"Total economy",Employees,"General government: federal",Employment,"Millions of jobs",1996,3,1.884
"Total economy",Employees,"General government: state and local",Employment,"Millions of jobs",1996,3,15.696
"Total economy",Personnel,"Armed forces",Employment,"Millions of jobs",1996,3,1.542
"Total economy",Employees,"Private households",Employment,"Millions of jobs",1996,3,1.03
"Total economy",Employees,"Nonprofit institutions",Employment,"Millions of jobs",1996,3,10.578
"Total economy","All workers",Farm,Employment,"Millions of jobs",1996,3,2.84
"Total economy","All workers","Nonfarm business: total",Employment,"Millions of jobs",1996,3,103.716
"Total economy",Employees,"Nonfarm business: private nonfarm (excluding nonprofit institutions)",Employment,"Millions of jobs",1996,3,90.437
"Total economy",Employees,"Nonfarm business: government enterprises: total",Employment,"Millions of jobs",1996,3,1.959
"Total economy",Employees,"Nonfarm business: government enterprises: federal",Employment,"Millions of jobs",1996,3,0.988
"Total economy",Employees,"Nonfarm business: government enterprises: state and local",Employment,"Millions of jobs",1996,3,0.971
"Total economy","Unpaid family workers","Nonfarm business: non-employees: unpaid family workers",Employment,"Millions of jobs",1996,3,0.16
"Total economy",Proprietors,"Nonfarm business: non-employees: proprietors",Employment,"Millions of jobs",1996,3,11.16
"Total economy","All workers","Total U.S. economy","Hours worked","Billions of hours",1996,4,246.278
"Total economy",Employees,"General government: total","Hours worked","Billions of hours",1996,4,32.012
"Total economy",Employees,"General government: federal","Hours worked","Billions of hours",1996,4,3.723
"Total economy",Employees,"General government: state and local","Hours worked","Billions of hours",1996,4,28.289
"Total economy",Personnel,"Armed forces","Hours worked","Billions of hours",1996,4,2.812
"Total economy",Employees,"Private households","Hours worked","Billions of hours",1996,4,1.306
"Total economy",Employees,"Nonprofit institutions","Hours worked","Billions of hours",1996,4,17.052
"Total economy","All workers",Farm,"Hours worked","Billions of hours",1996,4,5.269
"Total economy","All workers","Nonfarm business: total","Hours worked","Billions of hours",1996,4,187.827
"Total economy",Employees,"Nonfarm business: private nonfarm (excluding nonprofit institutions)","Hours worked","Billions of hours",1996,4,164.235
"Total economy",Employees,"Nonfarm business: government enterprises: total","Hours worked","Billions of hours",1996,4,3.9
"Total economy",Employees,"Nonfarm business: government enterprises: federal","Hours worked","Billions of hours",1996,4,1.937
"Total economy",Employees,"Nonfarm business: government enterprises: state and local","Hours worked","Billions of hours",1996,4,1.963
"Total economy","Unpaid family workers","Nonfarm business: non-employees: unpaid family workers","Hours worked","Billions of hours",1996,4,0.288
"Total economy",Proprietors,"Nonfarm business: non-employees: proprietors","Hours worked","Billions of hours",1996,4,19.404
"Total economy","All workers","Total U.S. economy",Employment,"Millions of jobs",1996,4,138.27
"Total economy",Employees,"General government: total",Employment,"Millions of jobs",1996,4,17.608
"Total economy",Employees,"General government: federal",Employment,"Millions of jobs",1996,4,1.856
"Total economy",Employees,"General government: state and local",Employment,"Millions of jobs",1996,4,15.752
"Total economy",Personnel,"Armed forces",Employment,"Millions of jobs",1996,4,1.532
"Total economy",Employees,"Private households",Employment,"Millions of jobs",1996,4,1.004
"Total economy",Employees,"Nonprofit institutions",Employment,"Millions of jobs",1996,4,10.612
"Total economy","All workers",Farm,Employment,"Millions of jobs",1996,4,2.804
"Total economy","All workers","Nonfarm business: total",Employment,"Millions of jobs",1996,4,104.709
